pap_pro_id,exam_id,exam_paper_id,exam_param_id,problem_id,order,last_submit_time,submit_id,is_aced,used_time,submit_count,score,create_time,modify_time,modify_user_id,know_name
115139,133,22566,833,134,4,2022-01-05 11:38:04,448702,3,0,8,0,2022-01-05 09:27:57,2022-01-05 11:38:16,-1,迭代改进
115130,133,22567,829,3,0,2022-01-05 11:55:09,449223,1,11409,4,6,2022-01-05 09:27:57,2022-01-05 11:55:11,-1,动态规划
115131,133,22567,830,32,1,2022-01-05 10:39:38,446255,1,3278,1,6,2022-01-05 09:27:57,2022-01-05 10:39:40,-1,动态规划
115132,133,22567,831,35,2,2022-01-05 10:29:34,445816,1,3874,2,6,2022-01-05 09:27:57,2022-01-05 10:29:36,-1,贪心策略
115133,133,22567,832,31,3,2022-01-05 12:05:22,449514,8,0,11,0,2022-01-05 09:27:57,2022-01-05 12:05:25,-1,时空权衡
115134,133,22567,833,445,4,2022-01-05 11:15:16,447797,1,5416,1,6,2022-01-05 09:27:57,2022-01-05 11:15:19,-1,迭代改进
115125,133,22568,829,3,0,2022-01-05 11:52:21,449143,5,0,11,0,2022-01-05 09:27:57,2022-01-05 11:52:23,-1,动态规划
115126,133,22568,830,32,1,2022-01-05 09:59:26,444566,1,866,1,6,2022-01-05 09:27:57,2022-01-05 09:59:29,-1,动态规划
115127,133,22568,831,41,2,2022-01-05 10:08:00,444863,2,0,4,4,2022-01-05 09:27:57,2022-01-14 17:35:08,3088,贪心策略
115128,133,22568,832,31,3,2022-01-05 10:42:47,446414,5,0,13,0,2022-01-05 09:27:57,2022-01-05 10:42:50,-1,时空权衡
115129,133,22568,833,445,4,2022-01-05 10:27:35,445719,1,2555,1,6,2022-01-05 09:27:57,2022-01-05 10:27:37,-1,迭代改进
115120,133,22569,829,629,0,2022-01-05 09:59:52,444579,1,892,1,6,2022-01-05 09:27:57,2022-01-05 09:59:53,-1,动态规划
115121,133,22569,830,32,1,2022-01-05 10:48:02,446634,1,3782,1,6,2022-01-05 09:27:57,2022-01-05 10:48:03,-1,动态规划
115122,133,22569,831,41,2,2022-01-05 10:21:01,445456,1,3361,2,6,2022-01-05 09:27:57,2022-01-05 10:21:02,-1,贪心策略
115123,133,22569,832,449,3,2022-01-05 11:20:59,448023,2,0,29,4,2022-01-05 09:27:57,2022-01-14 17:35:03,3088,时空权衡
115124,133,22569,833,445,4,2022-01-05 10:29:35,445820,1,3875,2,6,2022-01-05 09:27:57,2022-01-05 10:29:36,-1,迭代改进
115115,133,22570,829,628,0,2022-01-05 11:01:44,447240,2,0,4,4,2022-01-05 09:27:57,2022-01-14 17:34:55,3088,动态规划
115116,133,22570,830,32,1,2022-01-05 11:11:51,447658,1,5211,1,6,2022-01-05 09:27:57,2022-01-05 11:11:51,-1,动态规划
115117,133,22570,831,41,2,2022-01-05 10:43:35,446454,2,0,2,4,2022-01-05 09:27:57,2022-01-14 17:34:59,3088,贪心策略
115118,133,22570,832,449,3,2022-01-05 12:08:27,449654,2,0,4,4,2022-01-05 09:27:57,2022-01-14 17:34:57,3088,时空权衡
115119,133,22570,833,134,4,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,迭代改进
115110,133,22571,829,628,0,2022-01-05 10:17:01,445265,2,0,2,4,2022-01-05 09:27:57,2022-01-14 17:34:49,3088,动态规划
115111,133,22571,830,33,1,2022-01-05 11:53:36,449178,1,12516,5,6,2022-01-05 09:27:57,2022-01-05 11:53:38,-1,动态规划
115112,133,22571,831,35,2,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,贪心策略
115113,133,22571,832,31,3,2022-01-05 12:01:56,449423,5,0,3,0,2022-01-05 09:27:57,2022-01-05 12:01:58,-1,时空权衡
115114,133,22571,833,134,4,2022-01-05 12:09:16,449701,5,0,7,0.96,2022-01-05 09:27:57,2022-01-05 12:09:29,-1,迭代改进
115105,133,22572,829,629,0,2022-01-05 10:08:56,444890,1,1436,1,6,2022-01-05 09:27:57,2022-01-05 10:08:57,-1,动态规划
115106,133,22572,830,32,1,2022-01-05 12:07:34,449612,8,0,7,0.48,2022-01-05 09:27:57,2022-01-05 12:07:34,-1,动态规划
115107,133,22572,831,41,2,2022-01-05 11:24:40,448155,6,0,5,0,2022-01-05 09:27:57,2022-01-05 11:24:41,-1,贪心策略
115108,133,22572,832,31,3,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,时空权衡
115109,133,22572,833,445,4,2022-01-05 12:04:23,449489,1,15563,7,6,2022-01-05 09:27:57,2022-01-05 12:04:23,-1,迭代改进
115100,133,22573,829,628,0,2022-01-05 11:39:23,448756,5,0,1,0,2022-01-05 09:27:57,2022-01-05 11:39:24,-1,动态规划
115101,133,22573,830,32,1,2022-01-05 11:39:31,448767,5,0,2,0,2022-01-05 09:27:57,2022-01-05 11:39:32,-1,动态规划
115102,133,22573,831,41,2,2022-01-05 11:39:38,448771,5,0,4,0,2022-01-05 09:27:57,2022-01-05 11:39:39,-1,贪心策略
115103,133,22573,832,31,3,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,时空权衡
115104,133,22573,833,445,4,2022-01-05 10:50:06,446715,5,0,3,0,2022-01-05 09:27:57,2022-01-05 10:50:07,-1,迭代改进
115095,133,22574,829,629,0,2022-01-05 10:22:19,445509,1,3439,2,6,2022-01-05 09:27:57,2022-01-05 10:22:20,-1,动态规划
115096,133,22574,830,33,1,2022-01-05 11:52:57,449162,5,0,12,4.32,2022-01-05 09:27:57,2022-01-05 11:52:58,-1,动态规划
115097,133,22574,831,35,2,2022-01-05 11:43:42,448928,5,0,1,0.6,2022-01-05 09:27:57,2022-01-05 11:43:44,-1,贪心策略
115098,133,22574,832,449,3,2022-01-05 10:27:01,445695,1,13321,10,6,2022-01-05 09:27:57,2022-01-05 10:27:02,-1,时空权衡
115099,133,22574,833,134,4,2022-01-05 10:59:07,447132,2,0,11,0.96,2022-01-05 09:27:57,2022-01-05 10:59:08,-1,迭代改进
115090,133,22575,829,628,0,2022-01-05 10:06:31,444800,1,7291,6,6,2022-01-05 09:27:57,2022-01-05 10:06:33,-1,动态规划
115091,133,22575,830,32,1,2022-01-05 10:19:04,445368,1,5644,4,6,2022-01-05 09:27:57,2022-01-05 10:19:07,-1,动态规划
115092,133,22575,831,35,2,2022-01-05 11:57:49,449294,5,0,1,0.6,2022-01-05 09:27:57,2022-01-05 11:57:50,-1,贪心策略
115093,133,22575,832,31,3,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,时空权衡
115094,133,22575,833,134,4,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,迭代改进
115085,133,22576,829,3,0,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,动态规划
115086,133,22576,830,32,1,2022-01-05 12:08:26,449653,6,0,21,0.96,2022-01-05 09:27:57,2022-01-05 12:08:31,-1,动态规划
115087,133,22576,831,41,2,2022-01-05 10:08:00,444862,2,0,3,2.7,2022-01-05 09:27:57,2022-01-05 10:08:02,-1,贪心策略
115088,133,22576,832,449,3,2022-01-05 10:55:36,446957,2,0,5,4,2022-01-05 09:27:57,2022-01-14 17:34:27,3088,时空权衡
115089,133,22576,833,134,4,2022-01-05 12:06:12,449560,5,0,2,0.96,2022-01-05 09:27:57,2022-01-05 12:06:14,-1,迭代改进
115080,133,22577,829,3,0,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,动态规划
115081,133,22577,830,33,1,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,动态规划
115082,133,22577,831,35,2,2022-01-05 11:09:58,447578,1,8698,4,6,2022-01-05 09:27:57,2022-01-05 11:10:00,-1,贪心策略
115083,133,22577,832,449,3,2022-01-05 11:32:57,448494,5,0,15,0,2022-01-05 09:27:57,2022-01-05 11:32:57,-1,时空权衡
115084,133,22577,833,445,4,2022-01-05 10:11:05,444995,1,1565,1,6,2022-01-05 09:27:57,2022-01-05 10:11:06,-1,迭代改进
115075,133,22578,829,629,0,2022-01-05 10:22:57,445536,1,4677,3,6,2022-01-05 09:27:57,2022-01-05 10:22:57,-1,动态规划
115076,133,22578,830,33,1,2022-01-05 12:08:58,449678,5,0,8,0,2022-01-05 09:27:57,2022-01-05 12:08:58,-1,动态规划
115077,133,22578,831,41,2,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,贪心策略
115078,133,22578,832,31,3,2022-01-05 10:49:07,446678,5,0,4,0,2022-01-05 09:27:57,2022-01-05 10:49:08,-1,时空权衡
115079,133,22578,833,134,4,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,迭代改进
115070,133,22579,829,628,0,2022-01-05 10:00:31,444595,1,2131,2,6,2022-01-05 09:27:57,2022-01-05 10:00:32,-1,动态规划
